codigo_sessao	sigla_casa	codigo_sessao_legislativa	tipo_sessao	num_sessao	data_sessao	hora_inicio	codigo_tramitacao	codigo_sessao_votacao	sequecial_sessao	secreta	descricao_votacao	resultado	codigo_materia	sigla_materia	numero_materia	ano_materia	sigla_casa2	codigo_parlamentar	nome_parlamentar	sexo_parlamentar	sigla_partido	sigla_uf	url	foto	tratamento	voto_senador
22141	SF	850	DOR	99	2015-06-16	14:00	2264921	5394	1	S	Votação da Mensagem nº 22, de 2015, referente à escolha do Sr. Roberto Abdalla, Ministro de Primeira Classe para exercer o cargo de Embaixador do Brasil no Estado do Catar.	A	120912	MSF	00022	2015	SF	40	José Agripino	M	DEM	RN	http://www25.senado.leg.br/web/senadores/senador/-/perfil/40	http://www.senado.leg.br/senadores/img/fotos-oficiais/senador40.jpg	Senador	Votou
22141	SF	850	DOR	99	2015-06-16	14:00	2264921	5394	1	S	Votação da Mensagem nº 22, de 2015, referente à escolha do Sr. Roberto Abdalla, Ministro de Primeira Classe para exercer o cargo de Embaixador do Brasil no Estado do Catar.	A	120912	MSF	00022	2015	SF	16	Edison Lobão	M	PMDB	MA	http://www25.senado.leg.br/web/senadores/senador/-/perfil/16	http://www.senado.leg.br/senadores/img/fotos-oficiais/senador16.jpg	Senador	Votou
22141	SF	850	DOR	99	2015-06-16	14:00	2264921	5394	1	S	Votação da Mensagem nº 22, de 2015, referente à escolha do Sr. Roberto Abdalla, Ministro de Primeira Classe para exercer o cargo de Embaixador do Brasil no Estado do Catar.	A	120912	MSF	00022	2015	SF	70	Renan Calheiros	M	PMDB	AL	http://www25.senado.leg.br/web/senadores/senador/-/perfil/70	http://www.senado.leg.br/senadores/img/fotos-oficiais/senador70.jpg	Senador	Votou
22141	SF	850	DOR	99	2015-06-16	14:00	2264921	5394	1	S	Votação da Mensagem nº 22, de 2015, referente à escolha do Sr. Roberto Abdalla, Ministro de Primeira Classe para exercer o cargo de Embaixador do Brasil no Estado do Catar.	A	120912	MSF	00022	2015	SF	35	Jader Barbalho	M	PMDB	PA	http://www25.senado.leg.br/web/senadores/senador/-/perfil/35	http://www.senado.leg.br/senadores/img/fotos-oficiais/senador35.jpg	Senador	Votou
22141	SF	850	DOR	99	2015-06-16	14:00	2264921	5394	1	S	Votação da Mensagem nº 22, de 2015, referente à escolha do Sr. Roberto Abdalla, Ministro de Primeira Classe para exercer o cargo de Embaixador do Brasil no Estado do Catar.	A	120912	MSF	00022	2015	SF	825	Paulo Paim	M	PT	RS	http://www25.senado.leg.br/web/senadores/senador/-/perfil/825	http://www.senado.leg.br/senadores/img/fotos-oficiais/senador825.jpg	Senador	Votou
22141	SF	850	DOR	99	2015-06-16	14:00	2264921	5394	1	S	Votação da Mensagem nº 22, de 2015, referente à escolha do Sr. Roberto Abdalla, Ministro de Primeira Classe para exercer o cargo de Embaixador do Brasil no Estado do Catar.	A	120912	MSF	00022	2015	SF	111	Blairo Maggi	M	PR	MT	http://www25.senado.leg.br/web/senadores/senador/-/perfil/111	http://www.senado.leg.br/senadores/img/fotos-oficiais/senador111.jpg	Senador	MIS
22141	SF	850	DOR	99	2015-06-16	14:00	2264921	5394	1	S	Votação da Mensagem nº 22, de 2015, referente à escolha do Sr. Roberto Abdalla, Ministro de Primeira Classe para exercer o cargo de Embaixador do Brasil no Estado do Catar.	A	120912	MSF	00022	2015	SF	73	Romero Jucá	M	PMDB	RR	http://www25.senado.leg.br/web/senadores/senador/-/perfil/73	http://www.senado.leg.br/senadores/img/fotos-oficiais/senador73.jpg	Senador	AP 
22141	SF	850	DOR	99	2015-06-16	14:00	2264921	5394	1	S	Votação da Mensagem nº 22, de 2015, referente à escolha do Sr. Roberto Abdalla, Ministro de Primeira Classe para exercer o cargo de Embaixador do Brasil no Estado do Catar.	A	120912	MSF	00022	2015	SF	612	Eunício Oliveira	M	PMDB	CE	http://www25.senado.leg.br/web/senadores/senador/-/perfil/612	http://www.senado.leg.br/senadores/img/fotos-oficiais/senador612.jpg	Senador	P-NRV
22141	SF	850	DOR	99	2015-06-16	14:00	2264921	5394	1	S	Votação da Mensagem nº 22, de 2015, referente à escolha do Sr. Roberto Abdalla, Ministro de Primeira Classe para exercer o cargo de Embaixador do Brasil no Estado do Catar.	A	120912	MSF	00022	2015	SF	374	Paulo Rocha	M	PT	PA	http://www25.senado.leg.br/web/senadores/senador/-/perfil/374	http://www.senado.leg.br/senadores/img/fotos-oficiais/senador374.jpg	Senador	Votou
22141	SF	850	DOR	99	2015-06-16	14:00	2264921	5394	1	S	Votação da Mensagem nº 22, de 2015, referente à escolha do Sr. Roberto Abdalla, Ministro de Primeira Classe para exercer o cargo de Embaixador do Brasil no Estado do Catar.	A	120912	MSF	00022	2015	SF	391	Aécio Neves	M	PSDB	MG	http://www25.senado.leg.br/web/senadores/senador/-/perfil/391	http://www.senado.leg.br/senadores/img/fotos-oficiais/senador391.jpg	Senador	Votou
22141	SF	850	DOR	99	2015-06-16	14:00	2264921	5394	1	S	Votação da Mensagem nº 22, de 2015, referente à escolha do Sr. Roberto Abdalla, Ministro de Primeira Classe para exercer o cargo de Embaixador do Brasil no Estado do Catar.	A	120912	MSF	00022	2015	SF	558	Vanessa Grazziotin	F	PCdoB	AM	http://www25.senado.leg.br/web/senadores/senador/-/perfil/558	http://www.senado.leg.br/senadores/img/fotos-oficiais/senador558.jpg	Senadora	Votou
22141	SF	850	DOR	99	2015-06-16	14:00	2264921	5394	1	S	Votação da Mensagem nº 22, de 2015, referente à escolha do Sr. Roberto Abdalla, Ministro de Primeira Classe para exercer o cargo de Embaixador do Brasil no Estado do Catar.	A	120912	MSF	00022	2015	SF	615	José Pimentel	M	PT	CE	http://www25.senado.leg.br/web/senadores/senador/-/perfil/615	http://www.senado.leg.br/senadores/img/fotos-oficiais/senador615.jpg	Senador	Votou
22141	SF	850	DOR	99	2015-06-16	14:00	2264921	5394	1	S	Votação da Mensagem nº 22, de 2015, referente à escolha do Sr. Roberto Abdalla, Ministro de Primeira Classe para exercer o cargo de Embaixador do Brasil no Estado do Catar.	A	120912	MSF	00022	2015	SF	643	Lúcia Vânia	F	S/Partido	GO	http://www25.senado.leg.br/web/senadores/senador/-/perfil/643	http://www.senado.leg.br/senadores/img/fotos-oficiais/senador643.jpg	Senadora	Votou
22141	SF	850	DOR	99	2015-06-16	14:00	2264921	5394	1	S	Votação da Mensagem nº 22, de 2015, referente à escolha do Sr. Roberto Abdalla, Ministro de Primeira Classe para exercer o cargo de Embaixador do Brasil no Estado do Catar.	A	120912	MSF	00022	2015	SF	739	Ciro Nogueira	M	PP	PI	http://www25.senado.leg.br/web/senadores/senador/-/perfil/739	http://www.senado.leg.br/senadores/img/fotos-oficiais/senador739.jpg	Senador	Votou
22141	SF	850	DOR	99	2015-06-16	14:00	2264921	5394	1	S	Votação da Mensagem nº 22, de 2015, referente à escolha do Sr. Roberto Abdalla, Ministro de Primeira Classe para exercer o cargo de Embaixador do Brasil no Estado do Catar.	A	120912	MSF	00022	2015	SF	72	Roberto Requião	M	PMDB	PR	http://www25.senado.leg.br/web/senadores/senador/-/perfil/72	http://www.senado.leg.br/senadores/img/fotos-oficiais/senador72.jpg	Senador	Votou
22141	SF	850	DOR	99	2015-06-16	14:00	2264921	5394	1	S	Votação da Mensagem nº 22, de 2015, referente à escolha do Sr. Roberto Abdalla, Ministro de Primeira Classe para exercer o cargo de Embaixador do Brasil no Estado do Catar.	A	120912	MSF	00022	2015	SF	604	Walter Pinheiro	M	PT	BA	http://www25.senado.leg.br/web/senadores/senador/-/perfil/604	http://www.senado.leg.br/senadores/img/fotos-oficiais/senador604.jpg	Senador	Votou
22141	SF	850	DOR	99	2015-06-16	14:00	2264921	5394	1	S	Votação da Mensagem nº 22, de 2015, referente à escolha do Sr. Roberto Abdalla, Ministro de Primeira Classe para exercer o cargo de Embaixador do Brasil no Estado do Catar.	A	120912	MSF	00022	2015	SF	635	Ricardo Ferraço	M	PMDB	ES	http://www25.senado.leg.br/web/senadores/senador/-/perfil/635	http://www.senado.leg.br/senadores/img/fotos-oficiais/senador635.jpg	Senador	Votou
22141	SF	850	DOR	99	2015-06-16	14:00	2264921	5394	1	S	Votação da Mensagem nº 22, de 2015, referente à escolha do Sr. Roberto Abdalla, Ministro de Primeira Classe para exercer o cargo de Embaixador do Brasil no Estado do Catar.	A	120912	MSF	00022	2015	SF	950	João Alberto Souza	M	PMDB	MA	http://www25.senado.leg.br/web/senadores/senador/-/perfil/950	http://www.senado.leg.br/senadores/img/fotos-oficiais/senador950.jpg	Senador	Votou
22141	SF	850	DOR	99	2015-06-16	14:00	2264921	5394	1	S	Votação da Mensagem nº 22, de 2015, referente à escolha do Sr. Roberto Abdalla, Ministro de Primeira Classe para exercer o cargo de Embaixador do Brasil no Estado do Catar.	A	120912	MSF	00022	2015	SF	945	Alvaro Dias	M	PSDB	PR	http://www25.senado.leg.br/web/senadores/senador/-/perfil/945	http://www.senado.leg.br/senadores/img/fotos-oficiais/senador945.jpg	Senador	Votou
